"","Metrekare cinsinden evin boyutu","Oda Sayisi"," Bina Yasi","Dairenin Bulundugu Kat","Kat Sayisi","   Isitma","Banyo Sayisi","   Balkon","Daire icinde esya var/yok","Sahibinden/Emlak"," Cephe","Asansor","  Ulasim","Manzara","  Muhit","    Fiyat","Site Icerisinde","    İlce"
"1.","100","3","0","1","4","Dogalgaz","1","Var","Var","Emlak","Bati","Var","Var","Sehir","Uygun","1300","Hayir","Bozuyuk"
"2.","125","4","0","6","6","Dogalgaz","2","Var","Yok","Emlak","Dogu","Var","Var","Sehir","Uygun","1250","Hayir","Bozuyuk"
"3.","125","4","0","2","6","Dogalgaz","1","Var","Yok","Emlak","Dogu","Var","Yok","Doga","Uygunsuz","850","Hayir","Bozuyuk"
"4.","75","2","10","5","6","Dogalgaz","1","Var","Yok","Emlak","Guney","Var","Var"," Sehir","Uygun","600","Evet","Bozuyuk"
"5.","100","3","15","2","2","Dogalgaz","1","Var","Yok","Emlak","Guney","Yok","Var","Sehir","Uygun","550","Hayir","Merkez"
"6.","110","3","9","0","4","Dogalgaz","1","Var","Yok","Emlak","Dogu","Yok","Var","Sehir","Uygun","550","Hayir","Merkez"
"7.","120","4","10","3","6","Dogalgaz","1","Var","Yok","Emlak","Dogu","Var","Var","Doga","Uygun","700","Evet","Merkez"
"8.","110","3","10","0","5","Dogalgaz","1","Var","Yok","Sahibinden","Dogu","Var","Var","Sehir","Uygun","630","Hayir","Merkez"
"9.","80","3","11","2","2","Dogalgaz","1","Var","Yok","Emlak","Guney","Yok","Var","Doga","Uygun","500","Hayir","Merkez"
"10.","95","3","0","2","5","Dogalgaz","1","Var","Yok","Emlak","Guney","Yok","Var","Sehir","Uygun","650","Evet","Bozuyuk"
"11.","65","2","4","5","5","Dogalgaz","1","Yok","Var","Emlak","Bati","Var","Var","Doga","Uygun","800","Hayir","Merkez"
"12.","110","4","10","2","2","Dogalgaz","1","Var","Yok","Sahibinden","Guney","Yok","Var","Sehir","Uygun","700","Hayir","Merkez"
"13.","90","3","16","1","5","Dogalgaz","1","Var","Yok","Emlak","Guney","Yok","Var","Sehir","Uygun","900","Hayir","Merkez"
"14.","240","6","5","5","5","Dogalgaz","3","Var","Yok","Emlak","Dogu","Var","Var","Doga","Uygun","1550","Hayir","Merkez"
"15.","125","4","10","0","5","Dogalgaz","2","Yok","Yok","Emlak","Dogu","Var","Var","Sehir","Uygun","600","Hayir","Merkez"
"16.","105","4","10","1","1","Dogalgaz","1","Var","Yok","Emlak","Guney","Yok","Var","Sehir","Uygun","700","Hayir","Bozuyuk"
"17.","110","3","16","3","5","Dogalgaz","1","Var","Yok","Emlak","Dogu","Yok","Var","Sehir","Uygun","550","Hayir","Merkez"
"18.","96","4","31","3","3","Dogalgaz","1","Var","Yok","Sahibinden","Dogu","Yok","Var","Doga","Uygun","500","Hayir","Merkez"
"19.","145","4","10","3","7","Dogalgaz","2","Var","Yok","Sahibinden","Dogu","Yok","Var","Sehir","Uygun","750","Evet","Bozuyuk"
"20.","110","3","0","3","5","Dogalgaz","1","Var","Yok","Sahibinden","Guney","Yok","Var","Sehir","Uygun","100","Hayir","Merkez"
"21.","120","4","11","5","5","Dogalgaz","1","Var","Yok","Emlak","Guney","Yok","Var","Sehir","Uygun","600","Hayir","Merkez"
"22.","110","4","11","0","3","Dogalgaz","1","Var","Yok","Emlak","Kuzey","Yok","Var","Doga","Uygun","600","Hayir","Osmaneli"
"23.","85","2","6","0","5","Dogalgaz","1","Var","Yok","Emlak","Dogu","Yok","Var","Sehir","Uygun","600","Hayir","Merkez"
"24.","90","3","2","1","4","Dogalgaz","1","Var","Yok","Emlak","Guney","Var","Var","Sehir","Uygun","650","Evet","Osmaneli"
"25.","120","4","8","3","5","Dogalgaz","2","Var","Yok","Emlak","Bati","Yok","Var","Sehir","Uygun","900","Hayir","Merkez"
"26.","110","4","13","4","4","Dogalgaz","1","Var","Var","Emlak","Guney","Yok","Var","Sehir","Uygun","1000","Evet","Osmaneli"
"27.","45","2","9","2","6","Dogalgaz","1","Var","Yok","Emlak","Kuzey","Var","Var","Sehir","Uygun","500","Hayir","Merkez"
"28.","110","3","4","5","5","Dogalgaz","1","Var","Yok","Emlak","Dogu","Var","Var","Sehir","Uygun","700","Hayir","Merkez"
"29.","55","2","10","2","7","Dogalgaz","1","Var","Yok","Emlak","Kuzey","Var","Var","Sehir","Uygun","700","Hayir","Merkez"
"30.","120","4","21","4","4","Dogalgaz","1","Var","Yok","Sahibinden","Guney","Yok","Var","Sehir","Uygun","700","Hayir","Bozuyuk"
"31.","135","4","8","5","6","Dogalgaz","2","Var","Yok","Sahibinden","Dogu","Var","Var","Sehir","Uygun","1200","Evet","Bozuyuk"
"32.","150","4","6","1","4","Dogalgaz","1","Var","Yok","Emlak","Guney","Yok","Var","Doga","Uygun","850","Hayir","Merkez"
"33.","55","2","4","2","5","Dogalgaz","1","Var","Yok","Sahibinden","Dogu","Var","Var","Sehir","Uygun","550","Hayir","Osmaneli"
"34.","95","4","26","1","5","Dogalgaz","1","Var","Var","Sahibinden","Guney","Yok","Var","Sehir","Uygun","1400","Hayir","Bozuyuk"
"35.","120","4","17","5","5","Dogalgaz","1","Var","Yok","Sahibinden","Bati","Yok","Var","Sehir","Uygun","600","Evet","Osmaneli"
"36.","55","2","6","4","4","Dogalgaz","1","Var","Yok","Emlak","Dogu","Yok","Var","Sehir","Uygun","600","Hayir","Merkez"
"37.","120","4","21","4","4","Dogalgaz","1","Var","Yok","Sahibinden","Guney","Yok","Var","Sehir","Uygun","500","Evet","Bozuyuk"
"38.","100","4","11","1","3","Dogalgaz","1","Var","Yok","Sahibinden","Guney","Yok","Var","Sehir","Uygun","650","Hayir","Merkez"
"39.","100","3","6","2","5","Dogalgaz","1","Var","Yok","Sahibinden","Dogu","Var","Var","Sehir","Uygun","650","Hayir","Bozuyuk"
"40.","50","2","8","5","5","Dogalgaz","1","Var","Yok","Sahibinden","Kuzey","Var","Var","Sehir","Uygun","600","Hayir","Merkez"
"41.","50","2","9","3","5","Dogalgaz","1","Yok","Yok","Sahibinden","Kuzey","Yok","Var","Sehir","Uygun","550","Hayir","Merkez"
"42.","135","4","13","4","5","Dogalgaz","1","Var","Yok","Emlak","Guney","Yok","Var","Sehir","Uygun","600","Evet","Merkez"
"43.","73","2","8","6","7","Dogalgaz","1","Var","Var","Emlak","Bati","Var","Var","Doga","Uygun","750","Hayir","Merkez"
"44.","100","3","6","2","5","Dogalgaz","1","Var","Yok","Emlak","Dogu","Var","Var","Sehir","Uygun","650","Hayir","Bozuyuk"
"45.","100","4","13","1","3","Dogalgaz","1","Var","Yok","Sahibinden","Guney","Yok","Var","Sehir","Uygun","650","Hayir","Merkez"
"46.","120","4","23","4","4","Dogalgaz","1","Var","Yok","Sahibinden","Guney","Yok","Var","Sehir","Uygun","500","Hayir","Bozuyuk"
"47.","100","3","11","0","3","Dogalgaz","1","Yok","Yok","Sahibinden","Dogu","Yok","Var","Sehir","Uygun","299","Evet","Merkez"
"48.","35","2","4","2","6","Dogalgaz","1","Var","Yok","Sahibinden","Bati","Yok","Var","Sehir","Uygun","600","Hayir","Merkez"
"49.","110","3","0","1","5","Dogalgaz","2","Var","Yok","Sahibinden","Guney","Yok","Var","Sehir","Uygun","750","Hayir","Merkez"
"50.","130","4","16","4","5","Dogalgaz","1","Var","Yok","Emlak","Dogu","Yok","Var","Sehir","Uygun","700","Evet","Merkez"
"51.","100","3","16","0","4","Dogalgaz","1","Var","Yok","Emlak","Dogu","Yok","Var","Doga","Uygun","550","Evet","Merkez"
"52.","100","3","11","3","3","Dogalgaz","1","Var","Yok","Emlak","Guney","Yok","Var","Doga","Uygun","650","Hayir","Merkez"
"53.","50","2","2","3","7","Dogalgaz","1","Yok","Yok","Emlak","Kuzey","Yok","Var","Sehir","Uygun","650","Hayir","Merkez"
"54.","150","4","15","6","6","Dogalgaz","2","Var","Yok","Emlak","Bati","Var","Var","Doga","Uygun","850","Evet","Merkez"
"55.","30","2","2","2","6","Dogalgaz","1","Var","Yok","Sahibinden","Guney","Yok","Var","Sehir","Uygun","650","Hayir","Bozuyuk"
"56.","110","4","21","1","4","Dogalgaz","1","Var","Yok","Emlak","Dogu","Yok","Var","Sehir","Uygun","650","Hayir","Bozuyuk"
"57.","110","4","0","3","3","Dogalgaz","3","Var","Yok","Sahibinden","Kuzey","Var","Var","Sehir","Uygun","750","Evet","Bozuyuk"
"58.","165","4","11","3","6","Dogalgaz","1","Var","Yok","Emlak","Bati","Var","Var","Doga","Uygun","1300","Evet","Merkez"
"59.","50","2","2","1","5","Dogalgaz","1","Yok","Yok","Sahibinden","Guney","Yok","Var","Sehir","Uygun","600","Hayir","Bozuyuk"
"60.","92","3","11","5","6","Dogalgaz","1","Yok","Yok","Emlak","Bati","Yok","Var","Sehir","Uygun","850","Hayir","Merkez"
"61.","165","4","8","1","5","Dogalgaz","1","Var","Yok","Emlak","Dogu","Yok","Var","Sehir","Uygun","900","Hayir","Merkez"
"62.","100","4","8","0","4","Dogalgaz","1","Yok","Var","Emlak","Guney","Yok","Var","Sehir","Uygun","700","Hayir","Merkez"
"63.","100","3","14","1","2","Dogalgaz","1","Var","Yok","Emlak","Bati","Yok","Var","Sehir","Uygun","700","Hayir","Bozuyuk"
"64.","200","5","4","6","6","Dogalgaz","1","Var","Yok","Emlak","Dogu","Yok","Var","Sehir","Uygun","1000","Hayir","Merkez"
"65.","70","2","8","4","5","Dogalgaz","1","Var","Yok","Emlak","Kuzey","Yok","Var","Sehir","Uygun","600","Hayir","Merkez"
"66.","100","3","2","0","5","Dogalgaz","1","Var","Yok","Emlak","Guney","Yok","Var","Sehir","Uygun","600","Hayir","Merkez"
"67.","50","2","0","4","5","Dogalgaz","1","Yok","Yok","Sahibinden","Bati","Var","Var","Sehir","Uygun","700","Hayir","Bozuyuk"
"68.","120","4","17","8","2","Dogalgaz","1","Var","Yok","Emlak","Guney","Yok","Var","Sehir","Uygun","750","Hayir","Bozuyuk"
"69.","145","4","9","2","5","Dogalgaz","1","Var","Yok","Emlak","Kuzey","Yok","Var","Sehir","Uygun","1000","Hayir","Merkez"
"70.","100","3","0","2","5","Dogalgaz","1","Var","Yok","Emlak","Dogu","Var","Var","Sehir","Uygun","700","Hayir","Bozuyuk"
"71.","120","3","0","5","5","Dogalgaz","1","Var","Yok","Emlak","Guney","Yok","Var","Sehir","Uygun","900","Hayir","Bozuyuk"
"72.","95","3","11","1","5","Dogalgaz","1","Var","Var","Emlak","Kuzey","Yok","Var","Sehir","Uygun","875","Hayir","Söğüt"
"73.","150","3","0","2","4","Dogalgaz","1","Var","Yok","Emlak","Kuzey","Var","Var","Sehir","Uygun","900","Hayir","Merkez"
"74.","140","4","5","2","3","Dogalgaz","2","Var","Yok","Emlak","Bati","Yok","Var","Sehir","Uygun","1200","Hayir","Merkez"
"75.","110","3","3","5","1","Dogalgaz","1","Var","Var","Sahibinden","Dogu","Var","Var","Sehir","Uygun","1800","Hayir","Bozuyuk"
"76.","60","2","0","1","5","Dogalgaz","1","Var","Yok","Emlak","Guney","Yok","Var","Sehir","Uygun","750","Hayir","Merkez"
"77.","80","3","12","4","4","Dogalgaz","1","Var","Yok","Emlak","Bati","Yok","Var","Sehir","Uygun","500","Evet","Osmaneli"
"78.","90","4","25","2","3","Dogalgaz","1","Var","Yok","Emlak","Guney","Yok","Var","Sehir","Uygun","650","Hayir","Merkez"
"79.","110","3","16","1","3","Dogalgaz","1","Var","Yok","Emlak","Dogu","Yok","Var","Sehir","Uygun","850","Hayir","Merkez"
"80.","110","4","16","1","3","Dogalgaz","1","Var","Yok","Emlak","Dogu","Yok","Var","Sehir","Uygun","1500","Hayir","Merkez"
