"","       m²","Oda Sayısı"," Bina Yaşı"," Bulunduğu Kat","Kat Sayısı","   Isıtma","Banyo Sayısı","   Balkon","Eşyalı/sız","Sahibinden/Emlak"," Cephe","Asansör","  Ulaşım","Manzara","  Muhit","    Fiyat","Site İçerisinde","    İlçe"
"108.","120","4","16","3","7","Doğalgaz","1","Var","Eşyalı","Sahibinden","Doğu","Yok","Var","Şehir","uygun","1200","Hayır","Bozüyük"
"109.","113","3","34","2","2","Doğalgaz","1","Var","Eşyasız","Sahibinden","Güney","Yok","Var","Şehir","uygun","550","Hayır","Merkez"
"110.","120","4","11","3","4","Doğalgaz","1","Var","Eşyasız","Sahibinden","Kuzey","Var","Var","Şehir","uygun","675","Evet","Bozüyük"
"111.","120","4","9","2","4","Doğalgaz","2","Var","Eşyasız","Sahibinden","Batı","Var","Var","Şehir","uygun","700","Evet","Bozüyük"
"112.","135","5","13","4","8","Doğalgaz","1","Var","Eşyasız","Sahibinden","Batı","Yok","Var","Şehir","uygun","600","Hayır","Bozüyük"
"22-Apr","85","3","8","6","7","Doğalgaz","1","Var","Eşyasız","Sahibinden","Güney","Var","Yok","Şehir","uygun","650","Evet","Bozüyük"
"114.","90","3","2","0","4","Doğalgaz","1","Var","Eşyalı","Sahibinden","Doğu","Yok","Var","Şehir","uygun","950","Hayır","Merkez"
"115.","100","3","13","2","3","Doğalgaz","1","Yok","Eşyasız","Sahibinden","Batı","Yok","Var","Şehir","uygun","600","Hayır","Bozüyük"
"116.","110","3","3","2","5","Doğalgaz","1","Var","Eşyasız","Sahibinden","Güney","Var","Var","Şehir","uygun","675","Hayır","Bozüyük"
"117.","120","4","0","1","9","Doğalgaz","2","Var","Eşyasız","Sahibinden","Güney","Var","Var","Şehir","uygun","1100","Evet","Bozüyük"
"118.","100","4","21","4","5","Doğalgaz","1","Var","Eşyasız","Sahibinden","Doğu","Var","Var","Şehir","uygun","650","Hayır","Merkez"
"119.","120","4","11","0","4","Kömür","1","Var","Eşyasız","Sahibinden","Doğu","Yok","Var","Şehir","uygun","300","Hayır","Merkez"
"120.","125","4","3","3","7","Doğalgaz","2","Var","Eşyasız","Sahibinden","Güney","Yok","Var","Şehir","uygun","825","Hayır","Bozüyük"
"121.","75","3","3","2","3","Doğalgaz","1","Var","Eşyalı","Sahibinden","Güney","Var","Var","Şehir","uygun","175","Hayır","Osmaneli"
"122.","132","4","15","2","3","Doğalgaz","1","Var","Eşyalı","Sahibinden","Batı","Yok","Var","Şehir","uygun","700","Hayır","Bozüyük"
"123.","115","4","11","2","5","Doğalgaz","1","Var","Eşyasız","Sahibinden","Batı","Var","Var","Şehir","uygun","600","Evet","Merkez"
"124.","100","3","2","5","5","Doğalgaz","1","Var","Eşyasız","Sahibinden","Güney","Var","Var","Şehir","uygun","750","Hayır","Bozüyük"
"125.","100","3","0","4","4","Doğalgaz","1","Var","Eşyasız","Sahibinden","Doğu","Yok","Var","Şehir","uygun","500","Hayır","Söğüt"
"126.","77","3","12","3","5","Doğalgaz","1","Var","Eşyasız","Sahibinden","Doğu","Yok","Var","Şehir","uygun","500","Evet","Merkez"
"127.","55","2","4","5","6","Doğalgaz","1","Yok","Eşyalı","Sahibinden","Güney","Var","Var","Doğa","uygun","700","Hayır","Merkez"
"128.","80","1","8","0","3","Doğalgaz","1","Yok","Eşyalı","Sahibinden","Doğu","Yok","Var","Şehir","uygun","750","Hayır","Merkez"
"129.","110","3","13","3","4","Kömür","1","Var","Eşyalı","Sahibinden","Güney","Yok","Var","Şehir","uygun","700","Hayır","Merkez"
"130.","100","3","3","0","5","Doğalgaz","1","Var","Eşyasız","Sahibinden","Kuzey","Var","Var","Şehir","uygun","750","Hayır","Bozüyük"
"131.","50","2","3","1","6","Klima","1","Yok","Eşyasız","Sahibinden","Güney","Var","Var","Doğa","uygun","500","Hayır","Merkez"
"132.","100","3","18","2","3","Doğalgaz","1","Var","Eşyasız","Emlak","Güney","Yok","Var","Şehir","uygun","525","Hayır","Merkez"
"133.","150","4","2","5","7","Doğalgaz","2","Var","eşyasız","Emlak","Güney","Var","Var","Şehir","uygun","900","Evet","Merkez"
